hbm_id,cycles,mem_cycles,avg_latency,repair_none,repair_layer_a,repair_layer_b,repair_layer_c,repair_layer_d,total_repaired,K,bad_banks,ded_rows
1061,3695321.0,3695904.0,26.10117710625,580097,0,58,1,6817,6876,195,6,619
1062,3695339.0,3695899.0,26.1014198125,579838,0,51,2,7082,7135,195,6,682
1063,3695325.0,3695889.0,26.1012488625,577751,0,40,2,9180,9222,261,8,664
1064,3695307.0,3695908.0,26.10132183125,580919,0,59,0,5995,6054,162,5,670
1065,3695311.0,3695888.0,26.10114634375,584686,0,59,2,2226,2287,65,2,671
1066,3695330.0,3695905.0,26.10128403125,585763,0,57,1,1152,1210,33,1,672
1067,3695323.0,3695879.0,26.10133099375,577843,0,37,1,9092,9130,261,8,676
1068,3695345.0,3695906.0,26.10121465,585882,0,49,1,1041,1091,33,1,642
1069,3695363.0,3695905.0,26.10206865625,586920,0,51,2,0,53,0,0,653
1070,3695363.0,3695905.0,26.10206865625,586923,1,48,1,0,50,0,0,681
1071,3695303.0,3695902.0,26.101191512499998,580207,0,54,1,6711,6766,195,6,668
1072,3695290.0,3695889.0,26.1013565,585776,0,37,2,1158,1197,33,1,672
1073,3695325.0,3695888.0,26.10121965,578746,0,64,1,8162,8227,228,7,700
1074,3695363.0,3695905.0,26.10206865625,586921,0,51,1,0,52,0,0,693
1075,3695310.0,3695894.0,26.1013523375,571990,0,60,3,14920,14983,427,13,677
1076,3695345.0,3695902.0,26.10142015625,584700,1,60,5,2207,2273,65,2,687
1077,3695338.0,3695907.0,26.10128939375,577528,1,55,2,9387,9445,261,8,644
1078,3695336.0,3695897.0,26.10136150625,585797,0,46,0,1130,1176,33,1,718
1079,3695276.0,3695888.0,26.10102785625,583423,0,49,1,3500,3550,97,3,640
1080,3695323.0,3695885.0,26.10128295,571924,0,51,2,14996,15049,427,13,658
1081,3695346.0,3695898.0,26.10148154375,578910,3,56,2,8002,8063,228,7,672
1082,3695311.0,3695883.0,26.101406925,585714,0,58,1,1200,1259,33,1,703
1083,3695363.0,3695905.0,26.10206865625,586922,0,51,0,0,51,0,0,689
1084,3695319.0,3695885.0,26.10120248125,583590,0,36,1,3346,3383,97,3,684
1085,3695319.0,3695901.0,26.101464625000002,580064,2,47,2,6858,6909,195,6,682
1086,3695317.0,3695882.0,26.1012130875,580053,0,54,2,6864,6920,195,6,679
1087,3695283.0,3695895.0,26.1011276125,585773,1,36,1,1162,1200,33,1,653
1088,3695322.0,3695892.0,26.101210362499998,583337,0,45,0,3591,3636,97,3,640
1089,3695304.0,3695890.0,26.1010943625,585863,0,45,2,1063,1110,33,1,689
1090,3695316.0,3695897.0,26.10118066875,577598,0,54,0,9321,9375,261,8,656
1091,3695363.0,3695905.0,26.10206865625,586919,1,52,1,0,54,0,0,679
1092,3695363.0,3695905.0,26.10206865625,586924,0,46,3,0,49,0,0,681
1093,3695363.0,3695905.0,26.10206865625,586933,1,36,3,0,40,0,0,701
1094,3695314.0,3695898.0,26.10106325625,584602,0,40,2,2329,2371,65,2,692
